,protein,RYGB,SHAM
28,Gk,"[1923430.796848047 1317114.7237596978 1350279.0671396453
 1682236.0402800476 1213011.783932622 1549926.4042745226]","[2312110.7032429916 2418292.853100239 1752462.8426159038
 2087452.4199178233 2097046.6565543201 2479443.4330969076]"
29,Ndufs2,"[704913.8292502976 625868.9871867731 703044.6278839217 613399.3275706534
 738823.44547874 701709.4472335924]","[396908.7952432953 609328.2202141354 683726.5665354767 633385.158991743
 474431.5637263196 585656.187972573]"
30,Bhmt,"[8888943.541504351 8116444.805094879 6605947.793254411 6402200.15647167
 6258008.22209081 2901490.790376294]","[20161491.315539807 16066669.48222616 12489419.591962557 8591288.324448023
 11882079.455793679 14226761.324015921]"
31,Thrsp,[205.36 205.36 205.36 20672.82635022265 205.36 205.36],"[39217.700678306566 22544.479204753596 22382.20213229584
 29443.193602453517 49913.734290317974 205.36]"
32,Hexa,"[6527.039955417168 205.36 205.36 16749.648837992157 20185.756435039628
 19343.861424742056]",[205.36 205.36 205.36 205.36 205.36 205.36]
33,Ap2a1,"[55927.65359521803 47899.76582467675 205.36 17127.808544625044 205.36
 205.36]",[205.36 205.36 52476.81334126434 205.36 205.36 205.36]
34,Steap4,[205.36 25820.552966593372 205.36 205.36 205.36 205.36],[205.36 23608.402264263324 205.36 35914.48180551214 205.36 205.36]
35,Pacsin3,"[57392.451963307394 40453.32267878699 74633.77001430739 40577.72623097068
 42253.48703489575 57930.95090176398]","[53350.86955958336 45130.284838658394 56884.99639495079 53117.47279409289
 39541.260518112365 205.36]"
36,0,[205.36 7617.759792171326 205.36 205.36 205.36 205.36],[205.36 205.36 12500.891652295575 10833.826107137875 205.36 205.36]
37,Akr1c12,"[504370.0739574818 372368.9387883708 228273.74248396367 330933.44775797456
 285843.8156302954 353883.9727362296]","[456808.1833127675 389650.42226866895 502096.0863105685 459395.0639983734
 387917.4441591091 380061.88249825756]"
38,Pipox,"[91307.38777783258 50959.72135876631 16624.382550518872 163211.71486083837
 26099.08220348994 75550.52277469022]","[100595.36787287162 232422.54878249468 114340.982268018 94728.06471696119
 131930.69172232074 98147.41783936073]"
39,Akr1d1,"[763751.8097139362 588917.2426296368 292396.3866598233 402960.99241920817
 305820.39397688006 372803.33577832754]","[464339.9913195955 794129.7770297119 932899.2366939454 889284.7939541836
 488237.756618557 410559.10524767527]"
40,Pa2g4,[205.36 45216.45298906309 205.36 205.36 29559.036367942554 205.36],[205.36 205.36 205.36 205.36 205.36 205.36]
41,Cryz,"[69829.6456506249 133360.0010496319 205.36 153035.0999353683 205.36
 159614.04298087588]","[205.36 153804.9330488799 154468.61340665523 105203.31270862828
 212767.55852791382 117352.3706130464]"
42,Coq9,"[344198.96277025144 63511.39185995796 164424.60578123695
 237832.10458360246 241450.50841433584 252306.11813798713]","[37261.529740864906 218008.16764583785 278529.8918395391
 191181.27285242037 161341.23346795104 139201.5778260908]"
43,Mt-co1,"[205.36 14281.979070696574 24437.282509931454 31387.187034642615 205.36
 39686.32075855582]","[21294.434640535426 18144.482881680564 205.36 205.36 205.36
 28437.386483034556]"
44,S100a9,"[13666.199665982444 16842.345739581837 205.36 205.36 205.36
 24666.629964971336]",[205.36 205.36 6092.181130410655 205.36 205.36 1647.6726702360677]
45,Aldh8a1,"[10937535.853456002 8854818.068839747 7642797.741432737 6970235.736824034
 7410558.706222612 7284767.102702767]","[9245429.445547283 8889455.433134716 12005276.03418618 11109395.351659684
 8620469.769823108 8914911.276082294]"
46,Rpl26,"[13398.861505669536 48252.56767002751 69661.08036228776 100962.46874625608
 2263.244827444889 130101.39851597755]","[65671.15312263923 147377.51242770487 12709.716204561819
 64715.525032277175 53003.69978948352 22544.11865381685]"
