,protein,RYGB,SHAM
363,Agxt,"[170272.8459425919 94612.95767567599 321275.7998654357 225360.62509415546
 266908.98888304434 346919.13048583677]","[301998.3594700335 473789.2697507475 250409.32186476517 134350.08141417414
 513321.57381634304 475810.3454233379]"
364,Cbs,"[481669.9483872017 476189.25563494745 101735.49585034551
 114909.96517709203 255979.70262065297 110034.64297901497]","[72881.5334061533 428729.6330579938 499353.9144279892 377647.5183904834
 336324.92051902943 82288.25175840265]"
365,Eif3a,"[205.36 45224.21478204735 83200.73194330883 181807.52579006343
 88116.9035200126 162453.47763720585]","[140209.11048695407 166595.69881741932 17089.87132484551 205.36
 125705.66764705064 156999.88155198487]"
366,Cdc42,"[885069.2529960417 656081.2836101293 363494.39397478086 426420.9592669783
 389537.9802775135 512357.0185742653]","[589085.7315812719 408063.65562642686 896480.2929695393 788368.9019683775
 529671.0313859454 430827.74833713484]"
367,Vps26b,"[99259.57580961562 67790.85218280576 205.36 205.36 43735.354485351134
 65625.57949828987]",[205.36 205.36 205.36 70925.51751782301 205.36 205.36]
368,Cryl1,[91450.06299462146 72123.25621199593 205.36 205.36 205.36 205.36],"[205.36 48441.16664779413 89364.81644637113 115365.80591909752 205.36
 205.36]"
369,Ndufs8,"[821475.0534951107 649266.7955251328 373421.7942531389 507992.2777788971
 519613.20733072865 436478.767360857]","[352008.84389394143 339454.6469254834 817036.8705545713 562937.453270273
 377234.59330776904 280646.37495701923]"
370,Uqcrq,"[34983.01549654286 11643.619993110062 142895.4202040988 93676.57767953671
 120893.5444866968 160758.07523495733]","[98180.16113374576 99516.9621317367 39112.598185047726 23228.61580957243
 94972.30399073832 76701.33628112976]"
371,Tagln,"[43790.66927727146 62867.6706109419 18355.304214879296 45262.366963279455
 205.36 66401.67312113894]","[18332.17545754213 39903.23774899907 58879.88934737547 41439.596217253435
 16274.421249266374 205.36]"
372,LOC100909481,"[101184.86430751078 27891.145827716056 205.36 57280.10564171124
 45001.46344948081 68588.31367782778]","[71330.86164579785 205.36 55719.001309840976 32856.475481116315 205.36
 205.36]"
373,Vps4b,"[138687.88612942953 86663.43057139861 205.36 60761.72879316505
 56641.1569647422 77408.52525929912]","[61909.71604230676 58818.151631404544 148743.2575192889 205.36
 70101.4320785489 41701.82617991314]"
374,Uba6,[205.36 205.36 205.36 205.36 205.36 205.36],[46676.10885659084 205.36 205.36 205.36 205.36 40992.400317085565]
375,Fkbp2,"[644435.1182175026 511683.5604718171 231889.81319714867 241930.83242857625
 170562.78426623467 213069.9231858263]","[330241.0365265414 321837.39868984453 810446.6128527987 479989.1532256
 298088.18823627365 274497.2222178201]"
376,Ndufs7,"[136760.07642134387 250745.39576431923 176937.09359486596 182826.927528792
 239856.1149173062 223782.67502484165]","[156364.84708905558 172571.2505064191 152977.90359364473
 147033.76697998148 208125.04925166338 197513.31766228683]"
377,RGD1309350,"[730890.7324454093 537067.0890790866 315495.8279013441 381811.2907085358
 500107.5271453298 650153.1405291995]","[453477.7860747153 460682.6540396444 622618.4755641202 743361.1909565567
 456557.27560799214 554489.1806932116]"
378,Atp5f1,"[1060529.8327927461 1438273.1719012484 1507639.801855874
 2043729.2553911298 1760441.9519053649 1856054.6733428729]","[1276788.2751021585 1956372.0953417402 1579914.9554641189
 1338217.4107682519 1467190.4192960416 1256580.6363161325]"
379,Adh6,"[106955.72354354154 149491.30457368598 79285.24750545071 205.36 205.36
 90997.31553194197]","[26444.52762832309 205.36 79019.25284131523 81121.66980178501 205.36
 10002.784906952767]"
380,Ndufa8,"[147409.71636963423 129695.001133727 239851.4887976721 221812.83649199517
 251079.51272772576 255355.00754986124]","[188293.04089736202 159486.72661780904 148876.50468492197
 128262.81559645275 219354.3599772926 184251.32720322759]"
381,LOC683961,"[744313.5780907806 539883.8399580537 423401.6861680928 418827.53287994856
 506376.89712629624 520444.3354752823]","[416241.93133979366 408464.27654835145 565095.2291342247 473680.1976351349
 435572.6108445114 465027.40820738015]"
382,Nat1,"[1208.76493813453 28791.411474454562 60905.047427652484 59372.841325750705
 67276.97698023662 66283.27824278675]","[75354.4261327865 63184.485039094485 1805.843517530035 1509.9780715761758
 63998.29392531329 66701.47341791088]"
383,Lman2,"[110184.93440897537 140356.77577540936 205.36 53151.467056713
 87613.13839010807 205.36]","[205.36 205.36 143252.31401373047 93580.74151322944 59399.02086026786
 205.36]"
384,Sptbn2,"[205.36 90558.88794000313 205.36 42047.90161595252 26338.98335386323
 32543.02195706215]","[205.36 205.36 52318.28992679228 39214.55062447275 205.36
 26170.977877176258]"
385,Ostf1,"[58703.08887282869 32905.388672690584 27230.87599634471 205.36
 36485.29756517068 45821.46045982194]","[30466.110765983616 25147.340904582175 46564.869746882 39916.93465184427
 31279.73266797639 19532.179358399793]"
386,Timm8a1,"[205.36 347342.3470621106 296951.8944264097 259087.7188325719
 282624.7488959089 289614.2827661875]","[195797.25001431737 299840.5293692857 205.36 344332.01467714313
 250726.9241322257 216539.86605093212]"
387,Mthfd1,"[1054516.3103382718 1520451.865603498 1797122.8304048593 1401813.330734452
 1471572.4870285275 1638895.1776727126]","[1325157.2631216983 1393271.7600487443 920354.1357233617
 1200936.7492975763 1225682.247133069 1238738.353223697]"
388,Apob,"[218493.43965460168 205865.2493705012 55211.48241794203 264963.0618565599
 205.36 139863.96872386476]","[30844.30238523966 95913.03737119478 168033.764462027 144763.01124474948
 110129.86813749441 156405.60245495295]"
389,Emc2,[205.36 205.36 205.36 27908.7489654703 16665.5511959569 27453.947869229472],"[22540.241597924924 25164.60798163245 205.36 205.36 25547.04321078668
 24976.092969499543]"
390,Rtcd1,"[54495.12571416851 27638.00947300948 39956.50518763211 70081.01331064728
 205.36 205.36]","[64022.926653731265 61733.72857069007 104564.11615555179
 53883.148156984644 205.36 55623.61531289636]"
391,Psmc2,"[129219.69759525667 171124.175620705 94074.81708130165 46017.73759454174
 205.36 54564.279324839285]","[97948.76195616144 89313.98631621564 94892.2248026537 147919.4443441141
 54845.72830499317 58469.14564774563]"
392,Capza2,"[397435.83355095756 258517.25684752472 108947.9177665138
 178854.57839564382 204401.53500372457 242475.0430917514]","[199654.5647199787 222981.25981510643 335283.51483336405 283401.7862338382
 204445.93219152422 178676.2524634198]"
393,Tnpo1,[53772.421809248444 41307.25093515 205.36 205.36 205.36 38148.415891395474],"[33730.84288204952 31468.63689096803 48211.29563828719 51269.30023410549
 205.36 32580.787986911128]"
394,Nnt,"[1570536.4094805697 1245895.4033627708 1605686.751845439 1575058.556875918
 1331364.6190156476 1772741.784992591]","[1709859.4096534622 1809955.6470893966 1617068.5438557502
 1838113.3880084883 1483844.71240509 2175530.3489125962]"
395,Ass1,"[14732326.064587519 17786938.662179817 20440626.29758107
 22063471.780220997 31393510.982755464 17882260.370889083]","[16796844.133080546 18625723.424732797 13942611.747426344
 14392554.424352577 15884041.18567778 15654350.243559232]"
396,Cct6a,"[277123.6727275627 214824.62477451193 165870.97121886353
 217578.57150682603 216414.19281489268 216165.3899789285]","[254688.8107080164 190460.84542224318 295221.05986411 236523.41147202064
 230735.05147221775 234776.73449959545]"
397,0,"[635327.3092256722 467052.8049182371 376096.5266187375 304437.89879864425
 434478.8013068085 782243.1707797151]","[286329.6322285476 316086.5428749224 488156.8046402745 362214.35841279826
 377740.823567501 487153.0511313465]"
398,Igtp,[205.36 205.36 205.36 18468.651354589703 205.36 205.36],"[205.36 10347.602300476092 205.36 49622.120628737954 205.36
 37708.91871802852]"
399,Ehhadh,"[5143946.124558785 5282485.976296581 4522030.037358733 7386237.510490845
 5094973.47068442 5361429.677040894]","[5857338.428244437 5814746.464040715 4064404.8007731787 6712200.041011008
 6900276.600501321 7897788.772963227]"
400,Dnaja2,[205.36 205.36 205.36 43366.66085360761 205.36 50274.66615736309],"[51264.48298395477 39924.73434443101 77327.89417324486 37356.91629025477
 205.36 205.36]"
401,Vps25,[205.36 205.36 205.36 6339.74506764541 205.36 205.36],"[13459.219150720806 205.36 20743.031500774978 15422.918270270171 205.36
 205.36]"
402,Csad,"[204612.42520899538 357661.61079080706 254637.43448896066
 291256.77364890295 265037.9440778398 645904.2994587683]","[170261.4884659849 76732.30522951366 352853.6227629971 301608.6157552733
 351189.98895161814 417287.4503116251]"
403,Uox,"[3493766.4738779482 3894670.0929363356 3775000.2457639794
 5902642.424819206 4815396.234430418 4516733.16625587]","[5010831.683870958 5599852.737536979 2701834.9972669547 7021412.2366893655
 5365288.574772786 5971314.44721736]"
404,Abat,"[1506200.8517756064 1230968.8259258876 1544725.021664932
 1542902.7359271813 1589303.1240875274 1122769.9622322347]","[2160694.7582475804 1497221.1762099909 2961897.4587539188
 1960457.244596705 1410411.569330207 1410610.8443920347]"
405,Fkbp8,"[138602.06498279795 154467.65477526747 90489.28097921204 205.36
 95478.78906371554 54865.78986702443]","[105293.35851061309 54692.04438576202 202878.321433703 108370.33629467353
 92638.56953210387 98502.71178221394]"
406,Tmco1,[205.36 205.36 205.36 12965.277369230667 205.36 10749.592536858549],[205.36 205.36 205.36 205.36 205.36 205.36]
407,Timm13,"[928962.9570456527 1104414.3648420242 944794.8657775293 935634.0762277378
 583627.3824647536 594267.8880757372]","[514832.9066230979 718794.7709544796 1135125.8443904128 1080260.0385892484
 627251.6252649175 641338.6221291334]"
408,Eif5,"[30583.484371995422 28836.538506631285 27714.934238060916
 22803.812247314425 40939.41310661842 23797.39519683326]","[31477.104533435515 26967.549732374006 205.36 23792.746600495164
 38266.64997309918 23693.33299026292]"
409,RGD1564698,"[1254479.4127935127 1115097.2955863632 707990.4158703482
 1084898.9441732678 985639.3422143747 940606.2113202874]","[879181.2634759628 813448.2622935887 1110104.8231405797 743145.7658124014
 1026696.8785926418 665268.8029042768]"
410,Ndufa12,"[58989.294616523504 63991.39513204069 118289.37533165912
 140056.21735530676 129509.78952650822 77251.74429086021]","[99436.29095269713 76605.6715048466 62601.984828005705 71057.84688073702
 96359.83917345073 86984.81595329821]"
411,Ttc38,"[205.36 74489.30677637013 47470.07965832799 47372.90428286437 205.36
 60960.99027817351]","[59424.028541380525 59948.012231654095 117406.91888159742
 74435.59694344384 73326.50349468368 56136.70759650544]"
412,Pkm,"[2869.112760567428 67732.19023681195 205.36 205.36 205.36
 51272.054095681095]",[205.36 205.36 205.36 205.36 46036.203323475675 48585.80717385368]
413,Gls2,"[21440.819283812878 110356.18591061441 141722.80274319433
 245880.88436175557 184085.2399938363 48520.614672037125]","[175528.21836853528 164794.09575829539 186414.31069429388
 142992.2528180472 31802.978748811056 25165.76437902556]"
414,Hprt1,"[569393.3272286047 639774.0459014231 343477.8581040865 538765.0030286633
 479157.916164158 485736.79189103673]","[602523.7150678919 529047.4016335985 767624.226666294 644886.7624928863
 476908.2931169714 479886.41451558995]"
415,Mri1,[205.36 205.36 205.36 205.36 205.36 205.36],"[205.36 205.36 30887.510536310223 34361.08813336781 205.36
 19209.518687344767]"
416,Fus,"[11116.189698842416 205.36 49750.04427084985 95311.94838628428
 44888.47962746426 65933.91991745324]","[205.36 85457.79024328417 205.36 205.36 51311.307638004546
 117799.58925596965]"
417,Asah1,"[91482.82305342414 95605.86265880828 20618.18899411819 205.36
 37099.818965768805 28288.3346864416]","[205.36 24950.334249775085 51747.485206155674 47712.241137218254
 34792.8627315111 85411.31311591266]"
418,Selenbp1,"[2895764.2215060485 4296551.569998654 3339494.8593559037
 3597574.5261672377 3408107.966935181 3434759.582400226]","[4515074.933511811 4552648.883673916 3599841.565982268 4877157.78681788
 4177479.1195198367 3237077.3365183366]"
419,Slc25a1,"[1112282.8790080831 1281007.1553471906 1396002.315513292
 1523784.4503099637 1521294.7105243618 1246832.7237693984]","[1209596.0385861453 1394056.4364302165 1072341.0464506492
 1252471.618009776 997526.786491071 1114757.6172366776]"
420,Fga,"[74108.54037517314 137838.6882867171 425383.1558674702 620957.857377656
 538329.6450121007 906854.4890173873]","[296801.52789944736 363946.044926956 85319.24098375377 98696.66079348131
 458143.80337576376 472034.3154454965]"
421,Bcs1l,"[41828.67115287441 66872.58715203607 33669.91123251006 39637.615245274494
 205.36 59841.99860561971]","[205.36 47508.43741436176 101549.94889221195 58033.95900039517
 37750.642545802126 33859.88046600363]"
422,Dpyd,"[416795.7597794955 269854.74976585683 301419.9776668462 243467.16966305271
 240914.0697748438 244743.83309737252]","[259192.3570937081 252007.46516306943 365630.0543170467 281338.7011949332
 106542.4554494443 208335.32838132905]"
423,Ptbp1,"[228738.42685273476 269564.3428676999 403935.2381997686 329285.4468485447
 368463.1579168053 444121.77833944146]","[389150.234430422 355738.5769224461 444247.6777523932 493269.4154955046
 394323.64189069945 268065.54741346685]"
424,Psme1,"[1232325.6078804752 1068275.5866215504 937911.3369431646
 1201909.7457799749 1170863.1073005446 1416207.3685816056]","[870362.1846823292 1117579.1263356071 965715.8420495511 628994.5514087718
 1379101.1628279234 1184833.0844681966]"
425,Hadh,"[15123932.341127386 11149484.273065804 8769261.159546675 8370260.382281398
 8441974.707683602 10569173.647995327]","[10695460.80935555 10178108.984804383 15744502.818736427
 13154614.251080193 9871803.665535718 9366544.684240537]"
426,Dnaja1,"[257597.95692036083 203747.325686395 80537.92608657954 104718.6950833043
 135224.71982042832 163226.1067981196]","[76321.5420090334 138849.168900137 284000.0322782274 141501.73750355613
 82349.21193173729 171480.25884669588]"
427,Gsr,"[205.36 33176.19671001084 205.36 27402.787264397582 46412.1092326627
 45914.486948985155]","[39632.42408795684 47194.172589736074 26627.176622240062 38790.82602917074
 205.36 38879.02831345844]"
428,Afmid,"[390073.7757089067 838008.7657541756 744743.4968733428 662637.0888994698
 666506.525795835 553597.425281025]","[913573.2353177259 936309.1026969124 329714.9866978684 944688.7446231857
 903448.0330129176 790976.6239715536]"
429,Acad8,"[54283.10995899801 41157.34896632367 43154.1100676472 33831.323610937805
 32504.95438764358 48789.45503868755]","[40059.7575658594 29616.157069677 61237.787825932006 58181.339229212615
 37394.792004801064 29899.987964855176]"
430,Mpv17,"[14333.510837661704 205.36 205.36 31324.985659483755 205.36
 57002.18968684648]","[89966.10158693414 205.36 50136.13310375134 46895.853158556885 205.36
 46799.318110611915]"
431,Qars,"[67485.08544268542 48406.66949861676 49516.60507840601 56024.26965092745
 49055.21423701789 110465.56198067576]","[81971.71112138631 65475.73046361297 71631.14218727863 57699.2831782888
 205.36 79864.42365544768]"
432,Ddx5,"[205.36 144696.7763534473 119107.00356233741 114410.83922377443
 94370.4374041715 137789.67768375925]","[78237.14642048089 108420.29000641189 205.36 119275.4124102614
 89696.37884795624 92796.04285442058]"
433,Tuba4a,"[1231056.304160462 1019758.0032828668 735466.836171356 712308.9039837355
 775450.0064183384 914961.1007424939]","[952483.2487872116 813159.531071045 1265684.797071039 1058491.8358052864
 858481.7088774474 680682.8325396873]"
434,Ahcy,"[2999132.3588887868 3001399.788585061 4635113.940697822 5686430.558215176
 5444759.0929841995 5583141.474532883]","[5549896.3766166335 6983744.439516167 3489503.192787855 3572928.678769897
 4072309.4411455896 6261073.172555815]"
435,Ddb1,"[182944.88488817008 315632.9100792698 171002.62759326078
 218483.97727775335 205.36 115833.93179338689]","[53702.881557909466 259572.090736198 357108.47440834256 292743.8555362659
 100231.91666518847 206887.81612796438]"
436,Hspa4,"[157227.92848295893 162562.9560580636 158321.70562962696 281136.0143619486
 234339.87319335967 228699.48164129796]","[272901.1072084904 260407.93396076985 222414.61051016557
 162904.67845577464 229333.5229614799 223090.56807110904]"
437,0,"[115639.25749142855 23954.577237864032 62774.28266150847
 51188.974193036855 47807.09688465287 77045.63385575898]","[205.36 19404.51786649268 31036.61654763773 7174.5909439754005
 79877.68655050344 47433.79358153532]"
438,Itih4,"[578262.3679802428 384286.3632063687 306104.47457135416 471287.7047296585
 456960.90586951183 609324.4767627124]","[350102.88291861006 373722.82306940743 490840.00271081243
 335338.9689555448 454154.92553279974 272965.54248972435]"
439,Apoa4,"[77187.54121683416 33295.09716747194 122383.4675311114 81723.24422381232
 157251.42144378566 42015.04321678669]","[89585.79255804558 127057.76720456898 205.36 43005.20925484266
 115495.85289610192 275941.0373414099]"
440,Ggcx,"[283907.24087428086 102884.54282759622 205.36 95425.29878662455 205.36
 121102.19881294087]","[76305.26481746684 61838.50134191002 336254.68296650687 168682.60535499116
 77027.84763163551 67019.9510116364]"
441,Canx,"[1184530.2198802677 765860.5301444483 936824.1370311731 536972.3316427117
 774203.6199699856 1059714.403439792]","[576466.2768625357 866141.5368801532 854371.5483288462 1054516.3391137854
 589636.4648148658 479089.3832301044]"
442,Csrp1,"[25939.037923753862 26746.84903783396 205.36 17534.739854781365
 30933.250649577716 27495.616496535375]","[19165.737585912542 25561.455417153993 30722.38052132822
 22721.304243015988 29667.410598636252 31044.893708221727]"
443,Hsd17b6,"[52525.72144637031 143164.26434576762 205.36 205.36 205.36
 129994.10844525389]",[205.36 205.36 158022.41457202635 140083.68557027914 205.36 205.36]
444,Glrx5,"[214027.85903900943 236084.8147360327 298349.0498062081 207958.03769278724
 239648.81056630806 237924.72094354348]","[198399.49658077257 223771.21054375835 140484.88710005186
 248292.02878916796 191879.46409899413 225855.65081757036]"
445,Erp44,"[40964.55470683315 28842.006271959148 192736.51635756498
 51957.828629375224 205.36 70377.1566300526]","[179966.42676743786 121853.36171653098 53123.989418815756
 49290.97968040241 156689.66689925603 59018.97253799087]"
446,Rhoa,"[150809.0919487621 212418.54956384352 207076.97230960656 209158.5285219939
 161956.1908234052 217111.06988659326]","[204248.94927145005 261297.45200169657 65626.61220019733
 159943.13498913852 238483.54408305648 118126.63345363509]"
447,LOC103691744,"[17088861.80682891 19817160.28749017 13647544.628365984 17571879.377558757
 15104339.008642614 14261640.192610225]","[18700203.717158422 17302123.396609087 17909775.730134618
 27054126.542606197 20244276.64889684 19470403.85037909]"
448,Hnrnpk,"[1287131.7037656496 1194124.0203682918 820571.2409139433 916905.3175300395
 795089.5427337278 636611.3251309409]","[1063580.7364330958 878010.5538695625 1535693.591437826 1260270.602590871
 906476.3706623646 716641.9291576621]"
449,Xpo1,"[69648.33918517946 18724.94955217073 29445.86548146932 116872.05082358967
 68670.78099920391 64835.54188871027]","[122656.98451546083 61669.555828334516 160094.7286802761 52953.19847037797
 65229.30744203879 62012.07713639069]"
450,Sh3bgrl,"[205.36 205.36 110073.58761564124 116273.78277909795 156259.54841731564
 149257.81272223734]","[39847.08520362802 91506.15708347203 205.36 7520.955884129962
 100073.62536332711 205.36]"
451,Iars,"[88385.99288190127 72291.6995431289 205.36 25889.41667260081 205.36
 36899.925899302594]","[205.36 205.36 79596.62687723945 56405.22461537016 30400.120972152166
 205.36]"
452,RGD1561636,"[205.36 12431.167888308866 15685.998011212361 205.36 205.36
 15080.25415420119]",[205.36 205.36 205.36 205.36 205.36 23242.058375709843]
453,Plbd1,"[561440.0058565416 420923.2454610105 261713.58454515136 245301.94829598247
 217519.61602162605 348446.5588876255]","[211844.65719461592 152794.42030644894 459911.45029819384
 362240.8406024381 198453.64888578292 245504.92856843522]"
454,Acad10,"[50608.99289566101 38685.652195939205 70138.69535868203 28753.301550903238
 76804.70877404413 84319.01318065108]","[42113.66183511503 110224.81206734778 51753.2358014097 31601.61178858376
 26059.23212683918 205.36]"
455,RGD1566085,[205.36 8864.345691097165 205.36 10861.77461939912 205.36 205.36],[205.36 205.36 9568.358292250321 4945.088200492594 205.36 205.36]
456,Lamp2,"[176999.67601445664 143416.61969638325 53542.118010605256
 63332.876942801835 61126.19604774856 51673.89036933896]","[91496.99634568395 61865.933236783334 205.36 96905.04910112706 205.36
 69225.1587063442]"
457,Ccdc58,[205.36 205.36 205.36 36899.491412271214 205.36 27393.75464739416],[205.36 25014.898938956503 205.36 205.36 205.36 205.36]
458,Matr3,"[205.36 205.36 52936.27247711877 37354.974558500224 58471.906038579
 60520.68198393755]","[205.36 44369.285012425054 41966.104117339266 39533.62821021049 205.36
 44595.83686451018]"
459,Acot4,"[97614.48362942055 49606.62274175759 205.36 34957.276308570865
 25712.00710847614 205.36]","[52075.10606149158 39915.938913414044 90864.5335342106 52157.5746541633
 54778.34963308224 39469.838880007]"
460,Vdac2,"[897201.2977347496 936243.7517354077 1326129.0235959068 1294433.361856474
 1355266.0814490693 1386003.8436490325]","[1025583.9190080446 1187595.419263053 836769.8114124584 919973.7855455641
 1056426.9919488558 1098002.4017853828]"
461,Surf4,"[399240.9821483255 354200.5561435746 481153.19768329506 388534.30700801336
 496416.57834913785 595994.541623484]","[661611.0881439988 373128.6220258523 748590.175917428 509219.8375574092
 493568.29091010324 490777.23132859514]"
462,Hmbs,"[16477.400613940998 13691.41144359992 205.36 22736.57815813659
 26520.655636890195 21026.826461486566]","[24598.716408865985 24604.443459856808 26217.247468315316
 17949.030506820764 24463.443388563366 21860.16117857329]"
463,Sds,[205.36 205.36 36675.45815531172 93000.7915648742 205.36 24518.78498072322],[205.36 205.36 17894.879385103497 205.36 205.36 205.36]
464,Tcp1,"[356760.3639590588 451479.77570789674 190911.47369708994
 141784.10487317477 310209.46752479824 344783.6427940352]","[333085.2543136494 340312.28689100774 380745.83582829207 533436.282042195
 219094.8518721349 275219.0195097413]"
465,Itgb1,"[205.36 94646.46192161366 205.36 58965.38660203836 35587.12853084125
 41477.38454126308]","[125974.60162359492 54222.45478023771 205.36 127734.21456477891
 60002.10365465569 107446.79413781036]"
466,C5,[205.36 8713.539988128774 205.36 205.36 205.36 21890.77039824853],"[205.36 10160.308900282056 20204.274032265803 16549.488987409313 205.36
 205.36]"
467,Eif4g1,"[182421.77719705843 141102.7906777258 56565.33283850335 78360.86857410935
 39392.96639911853 145515.0160265184]","[120714.67526107423 99211.1502221994 179940.39258633665 162837.60651757036
 137840.61316756715 32154.173273648135]"
468,Bhmt2,"[411980.44695729937 712590.5152986366 104987.06828300774 269497.4119508676
 210074.7067158271 284002.57300477935]","[792016.4126518882 871487.9350447113 387534.76467843703 311222.0443450429
 363707.89114544506 545830.30079905]"
469,LOC100912618,"[84973.78179067915 82215.31395014444 181741.42402137196 182619.62426357562
 119931.0182651563 163572.0187449653]","[156006.07060900028 223935.30729113816 101231.87661666665
 62652.117279503815 78674.17517464719 202730.76615786715]"
470,Vcp,"[4051775.808026445 3693743.1802537944 3528740.7761616567 3619737.243534468
 3472512.2690216675 3723605.639884819]","[3780866.5407199953 3423785.322846667 4339215.932634833 3790184.9081561826
 4218764.752902887 3719382.6544813467]"
471,Pdhb,"[765871.0102595036 680321.9271215411 894703.8266351143 411362.00215842685
 912761.2561539458 193064.38763100962]","[687252.9750073245 597659.3217291833 629105.5923517464 683116.2036897893
 374503.1433281196 562777.0738814117]"
472,Hars,"[59256.29973263864 59104.19851012897 42319.502952892195 53793.691709348226
 205.36 48021.484055125904]","[55385.197343126245 31021.154103506546 55396.631177429495
 52447.73191816696 53352.12372649102 53699.316874663426]"
473,Actr3,"[61782.077272315895 189945.33177694507 411690.9528694526 676661.2724917321
 413699.5929926195 476566.60305572156]","[364911.3147412938 421089.2026634961 205.36 201809.17178135493
 505400.4112293559 513268.4897073649]"
474,Sar1b,"[68910.03528710413 480587.9800147495 497088.100307553 528936.4363425453
 409927.60027006874 549693.1072522672]","[438473.4976109822 492734.4752005168 205.36 751339.2976845871
 497414.62642392295 517349.7991437787]"
475,Dnph1,"[16415.685529834645 19359.36527801087 205.36 21894.671638717515 205.36
 14154.022975247159]",[205.36 205.36 205.36 15490.81252600831 205.36 205.36]
476,Ccdc51,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 205.36 205.36 205.36 205.36 39385.264421999775]
477,Anxa11,"[36265.30312243002 26802.276763324357 51138.4833573803 29458.68016911718
 205.36 44095.032047065535]","[45091.22898291291 33098.19790223506 34728.720662797605 29444.526095726003
 46414.82294594929 41237.97427932828]"
478,Clint1,"[32692.54538437512 47777.60344469098 62643.2129086538 69701.28793507494
 205.36 76690.77624176892]","[26484.50834362568 205.36 41961.23814739182 40944.93828159915 205.36
 205.36]"
479,Dhtkd1,"[376860.8112766437 448645.0538213939 219338.25895164648 489505.5116916418
 439256.7419336006 383282.2191428503]","[252015.8222891918 401771.8686479088 417170.2352942792 368267.1268363752
 344505.8654612675 357253.57696740923]"
480,Hacl1,"[1116695.8929589926 979449.3931850789 678561.3957791133 911910.233184555
 970723.6272589637 914439.8395641212]","[537030.4602948389 628731.895578205 1310649.2493941635 771282.9203215126
 1142831.1025585665 1301415.0162330163]"
481,Tardbp,"[454136.5759108163 365946.02289128857 248411.2386697319 304894.0215221308
 190336.23671474803 314265.49314245797]","[279675.3823329796 259177.34843064676 520630.27967890067 318053.6041365233
 278041.9636191568 203597.8419703107]"
482,Ndufa5,"[232511.04094954015 242754.40363291017 138554.33275918927
 198310.6091724835 70704.15949205194 189658.35718122846]","[109019.80885856038 164569.6065475343 366458.82275052724 239514.2409478771
 172661.84167581899 89437.3845044533]"
483,Pck1,"[1674088.345604541 2020926.0282960103 1653937.7875393848
 1220975.4613669298 1358008.4435354925 2421122.9324043547]","[1426078.5884420313 1349197.3532738583 1813576.5665996019
 1625693.4548019208 1193554.2701489518 1234995.588977347]"
484,Mgst1,"[492613.32481483085 2109158.933793698 4482920.033897231 3581358.599958081
 3957509.1799689424 4508349.901890457]","[3791837.4471468246 4637933.77181496 420020.2992454434 3181669.5343595543
 3627934.6353297285 4427404.022332011]"
485,Tpm1,"[205.36 134993.25506340325 205.36 168932.9517282239 205.36
 155525.37911356203]","[107749.00222657362 81795.43888335697 205.36 205.36 205.36
 83378.35414704095]"
486,Pdia3,"[8447296.285471873 9526165.736043204 9693610.385983288 9970211.707809377
 10228461.71472459 10478699.408944506]","[8895711.039127022 9647373.398568949 8530093.01840134 10060766.404293885
 9532929.368217343 8778144.569797881]"
487,Phykpl,"[68827.95344071946 47445.995676288316 23095.37462185097 25439.98442349545
 30324.803867630828 19105.71677430056]","[205.36 205.36 71419.44053428301 52423.94599009031 32115.77943112927
 29236.652221427332]"
488,Ces1f,"[360729.7260178384 352558.39330667764 56203.16242654324 161225.40624342076
 60171.84244501259 177272.50215030654]","[7220.53360610358 106382.82119182035 332261.1369492173 257676.34284288494
 73436.40543880063 157604.01328428532]"
489,Mtx1,[205.36 44548.568070850204 205.36 75976.76778126268 205.36 205.36],"[39718.285408631666 56989.45490909853 205.36 205.36 205.36
 79999.67072865141]"
490,Cyp2c22,"[266628.6889284908 170358.0976402777 37249.43481407873 72436.08087296374
 66319.45911575397 124177.31875938532]","[124072.86958389822 76288.53488150671 397845.7308990892 211079.8226476284
 99555.8408925051 67572.81879401885]"
491,Etfa,"[9507109.80074144 9261738.457628455 9177536.99353713 8279955.282800755
 8332486.7374572065 9568297.735265965]","[8038460.580813542 8281099.165282906 9519113.184397832 8503116.279354164
 7527094.00610857 8136797.8819215875]"
492,Stoml2,"[205.36 205.36 205.36 163533.1419873887 161822.90568473897
 258747.4839708282]","[366267.54270822357 133689.5891548116 205.36 328607.02924028866 205.36
 202421.0261078999]"
493,Timm50,"[104954.30509539429 125812.91489350886 56273.0172270445 75896.77235503169
 78689.31485876291 88821.17836644873]","[94090.60588522903 75982.30582762625 164321.857465579 102267.7229124273
 87957.84562137324 74341.15814942213]"
494,Atp5j2,"[1485360.2439580236 1158507.2999028966 1437870.5244599918
 1481270.5662431768 1132175.0010079725 1561990.6460077171]","[1283681.3838664098 1207618.224849873 1358343.1668870635
 1406231.9367272605 1225114.620956691 1247331.2276884425]"
495,Bdh1,"[10915927.03345968 11096485.795776065 12954871.387853352 8554730.316326346
 7299383.063532152 9919690.11552098]","[9848167.249343196 11089988.070033515 13352011.55080967 14309543.583239928
 10992794.657906074 11070218.448859438]"
496,Farsb,"[3342.2302639179356 2724.209673214119 89543.94232273116 115041.81691037034
 81752.04772240692 102414.9543212747]","[77107.83100319406 88372.26396165072 3269.0746418399126 3183.9330240084923
 71844.89495183536 86438.21370085924]"
