Source	Interaction	Arrow	Arrow_Type	Dashes	Color	Target
hsa:283459	reaction	True	arrow	False	blue	C02282
G00036	reaction	True	arrow	False	blue	hsa:10317
C00534	reaction	True	arrow	False	blue	hsa:55163
G00143	reaction	True	arrow	False	blue	hsa:5277
hsa:2147	activation	True	arrow	False	black	hsa:2151
hsa:3702	activation	True	arrow	False	black	hsa:10451
hsa:3280	expression	True	arrow	False	black	hsa:4609
C00032	reaction	True	arrow	False	blue	hsa:1352
hsa:51135	binding/association	False	NA	False	black	hsa:7189
hsa:7358	reaction	True	arrow	False	blue	C00029
hsa:353	reaction	True	arrow	False	blue	C00020
hsa:9060	reaction	True	arrow	False	blue	C00053
hsa:6774	repression	True	circle	False	black	hsa:10891
C01211	reaction	True	arrow	False	blue	hsa:5351
hsa:1075	inhibition	True	circle	False	black	hsa:596
hsa:316	reaction	True	arrow	False	blue	C00777
hsa:83990	binding/association	False	NA	False	black	hsa:11073
hsa:10000	inhibition	True	circle	False	black	hsa:2308
hsa:7132	activation	True	arrow	False	black	hsa:6885
hsa:5566	inhibition	True	circle	False	black	hsa:2308
C00219	reaction	True	arrow	False	blue	hsa:5742
hsa:64145	binding/association	False	NA	False	black	hsa:10938
hsa:3480	activation	True	arrow	False	black	hsa:5290
C04677	reaction	True	arrow	False	blue	hsa:471
C00641	reaction	True	arrow	False	blue	hsa:139189
hsa:8972	reaction	True	arrow	False	blue	C00721
hsa:10327	reaction	True	arrow	False	blue	C00084
hsa:4690	binding/association	False	NA	False	black	hsa:10298
C00101	reaction	True	arrow	False	blue	hsa:275
hsa:51135	activation	True	arrow	False	black	hsa:3665
hsa:65018	activation	True	arrow	False	black	hsa:5071
hsa:7305	activation	True	arrow	False	black	hsa:6850
hsa:5348	binding/association	False	NA	False	black	hsa:23439
hsa:5578	phosphorylation	True	circle	True	black	hsa:5894
hsa:64135	activation	True	arrow	False	black	hsa:57506
C00877	reaction	True	arrow	False	blue	hsa:35
hsa:3107	activation	True	arrow	False	black	hsa:100132285
hsa:60	binding/association	False	NA	False	black	hsa:1072
hsa:28	reaction	True	arrow	False	blue	G00059
hsa:1128	activation	True	arrow	False	black	hsa:55970
C00671	reaction	True	arrow	False	blue	hsa:259307
hsa:4233	activation	True	arrow	False	black	hsa:6714
hsa:80146	reaction	True	arrow	False	blue	C00190
C00168	reaction	True	arrow	False	blue	hsa:81888
hsa:2222	reaction	True	arrow	False	blue	C00751
hsa:8942	reaction	True	arrow	False	blue	C00108
hsa:6237	activation	True	arrow	False	black	hsa:5900
hsa:5594	expression	True	arrow	False	black	hsa:51561
hsa:2752	reaction	True	arrow	False	blue	C00064
hsa:4780	expression	True	arrow	False	black	hsa:4880
hsa:2731	reaction	True	arrow	False	blue	C02051
hsa:5347	activation	True	arrow	False	black	hsa:995
hsa:1910	binding/association	False	NA	False	black	hsa:2770
C00641	reaction	True	arrow	False	blue	hsa:196051
hsa:1892	reaction	True	arrow	False	blue	C05273
hsa:2052	reaction	True	arrow	False	blue	C19490
C00111	reaction	True	arrow	False	blue	hsa:2820
hsa:3630	activation	True	arrow	False	black	hsa:3480
hsa:10998	reaction	True	arrow	False	blue	C05337
hsa:9641	activation	True	arrow	False	black	hsa:3661
C00785	reaction	True	arrow	False	blue	hsa:3034
hsa:64805	activation	True	arrow	False	black	hsa:2770
C00381	reaction	True	arrow	False	blue	hsa:22845
hsa:259307	reaction	True	arrow	False	blue	C00078
hsa:216	reaction	True	arrow	False	blue	C00777
